"Rewrite Rule","Target/As-is URL","Destination/To-be URL (Expected)","Testing Result"
"RewriteRule ^/health/(tengan|kids|chuuijikou|hozon|chuui).shtml$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/eyelotion/ [R=301,L]","https://www.santen.co.jp/health/tengan.shtml","https://www.santen.com/jp/healthcare/eye/eyecare/eyelotion",false
"RewriteRule ^/al/al_faq1.html$ https://www.santen.co.jp/ja/healthcare/eye/eyecare/structure/ [R=301,L]","https://www.santen.co.jp/al/al_faq1.html","https://www.santen.com/jp/healthcare/eye/eyecare/eye_mechanism",false
"RewriteRule ^/al/al_faq(2|3|4|5).html$ https://www.santen.co.jp/ja/healthcare/eye/library/allergic_conjunctivitis/ [R=301,L]","https://www.santen.co.jp/al/al_faq2.html","https://www.santen.com/jp/healthcare/eye/eyecare/eye_mechanism",false
"RewriteRule ^/al/al_list(1|2|3).html$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/al/al_list1.html","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/al/al_kanshu.html$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/al/al_kanshu.html","https://www.santen.com/jp",false
"RewriteRule ^/al/al_kiku(1|2).html$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/al/al_kiku1.html","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/al/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/selfcheck/itchy_eye/ [R=301,L]","https://www.santen.co.jp/al/test","https://www.santen.com/jp/healthcare/eye/selfcheck/itchy_eye",false
"RewriteRule ^/jp/products/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/jp/products/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/jp/products/index.jsp$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/jp/products/index.jsp","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/jp/products/prs.jsp$ https://www.santen.co.jp/ja/healthcare/eye/products/prescription_drug/ [R=301,L]","https://www.santen.co.jp/jp/products/prs.jsp","https://www.santen.com/jp/healthcare/eye/products/prescription_drug",false
"RewriteRule ^/jp/products/m_dev.jsp$ https://www.santen.co.jp/ja/healthcare/eye/products/medical_device/ [R=301,L]","https://www.santen.co.jp/jp/products/m_dev.jsp","https://www.santen.com/jp/healthcare/eye/products/medical_device",false
"RewriteCond %{QUERY_STRING} ^http://bd-navi.jp/about/$","https://www.santen.co.jp/jp/common/sout.html?http://bd-navi.jp/about/","https://www.santen.com/jp",false
"RewriteRule ^/ra/advice/(sickness|info|know_fukushi|know_note|books).shtml$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ra/advice/sickness.shtml","https://www.santen.com/jp",false
"RewriteRule ^/ra/advice/mame/mame_menu.html$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/ra/advice/mame/mame_menu.html","https://www.santen.com/jp",false
"RewriteRule ^/soudan/(.*)$ https://www.santen.co.jp/ja/contact/ [R=301,L]","https://www.santen.co.jp/soudan/","https://www.santen.com/jp/contact",false
"RewriteRule ^/products/jp/$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/products/jp/","https://www.santen.com/jp/healthcare/eye",false
